fecha,producto,categoria,cantidad,precio
2025-01-02,Teclado mecánico RGB gaming,Perifericos,2,650000
2025-01-02,Ratón inalámbrico ergonómico,Perifericos,3,280000
2025-01-03,Monitor LED Full HD 24 pulgadas,Pantallas,1,1450000
2025-01-03,Webcam HD para videoconferencias,Accesorios,2,350000
2025-01-04,Auriculares con micrófono USB,Audio,2,420000
2025-01-04,Disco SSD SATA 1TB,Almacenamiento,1,780000
2025-01-05,Memoria USB 64GB,Almacenamiento,5,95000
2025-01-05,Impresora multifunción WiFi,Oficina,1,980000
2025-01-06,Monitor LED Full HD 24 pulgadas,Pantallas,2,1450000
2025-01-06,Teclado mecánico RGB gaming,Perifericos,1,650000
2025-01-07,Ratón inalámbrico ergonómico,Perifericos,4,280000
2025-01-07,Auriculares con micrófono USB,Audio,3,420000
2025-01-08,Disco SSD SATA 1TB,Almacenamiento,2,780000
2025-01-08,Webcam HD para videoconferencias,Accesorios,1,350000
2025-01-09,Monitor LED Full HD 24 pulgadas,Pantallas,1,1450000
